Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",62.5,-6.71,-9.70%,64.1,60.7,14450244,05/15/18
AA,"Alcoa Corp",50.54,-1.79,-3.42%,51.95,50.4,6215420,05/15/18
AAL,"American Airlines Gp",43.19,0.73,+1.72%,43.4,41.6,6898846,05/15/18
AAPL,"Apple Inc",186.44,-1.71,-0.91%,187.07,185.1,23640709,05/15/18
ABBV,"Abbvie Inc",104.18,-1.71,-1.61%,105.56,103.59,8387591,05/15/18
ABEV,"Ambev S.A.",5.82,-0.13,-2.18%,5.85,5.76,17556295,05/15/18
ABT,"Abbott Laboratories",60.54,-1.48,-2.39%,61.58,60.32,5333461,05/15/18
ABX,"Barrick Gold Corp",13.17,-0.31,-2.30%,13.29,12.99,8322947,05/15/18
ADT,"ADT Inc.",7.13,-0.17,-2.33%,7.27,6.93,7752515,05/15/18
AEO,"American Eagle Outfitters",21.64,0.67,+3.20%,21.74,20.88,4971802,05/15/18
AES,"The Aes Corp",12.3,-0.05,-0.40%,12.34,12.22,6206106,05/15/18
AIG,"American International Group",53.23,0.31,+0.59%,53.39,52.81,4843994,05/15/18
AKS,"AK Steel Holding Corp",4.44,0.04,+0.91%,4.48,4.36,7570622,05/15/18
AMAT,"Applied Materials",54.09,-1.17,-2.12%,54.87,53.48,12830918,05/15/18
AMD,"Adv Micro Devices",12.45,0.22,+1.80%,12.46,12.16,44085383,05/15/18
AMZN,"Amazon.Com Inc",1576.12,-25.42,-1.59%,1587.8,1565.22,5067919,05/15/18
APRN,"Blue Apron Holdings Inc",2.55,0.04,+1.59%,2.62,2.42,5218535,05/15/18
ARNC,"Arconic Inc",17.98,-0.34,-1.86%,18.25,17.88,4901700,05/15/18
AUY,"Yamana Gold",2.82,-0.1,-3.42%,2.88,2.79,9739880,05/15/18
BABA,"Alibaba Group Holding Ltd",196.61,-2.03,-1.02%,196.78,193.86,12680478,05/15/18
BAC,"Bank of America Corp",31.22,0.1,+0.32%,31.36,30.85,64391434,05/15/18
BBD,"Banco Bradesco S.A.",8.78,-0.15,-1.68%,8.86,8.55,12960223,05/15/18
BGCP,"Bgc Partners Cl A",12.05,-0.08,-0.66%,12.12,11.95,4833212,05/15/18
BMY,"Bristol-Myers Squibb Company",52.3,0.28,+0.54%,52.34,51.71,8132676,05/15/18
BP,"BP Plc",46.79,0.39,+0.84%,46.99,46.27,7148816,05/15/18
BRX,"Brixmor Property Group Inc",14.11,-0.37,-2.56%,14.46,13.96,5827823,05/15/18
BSX,"Boston Scientific Corp",29.62,-0.24,-0.80%,29.77,29.42,5272140,05/15/18
C,"Citigroup Inc",72.68,0.06,+0.08%,73.02,72.36,12482658,05/15/18
CBS,"CBS Corp",54.42,0.77,+1.44%,55.5,53.97,6122269,05/15/18
CELG,"Celgene Corp",81.98,-3.33,-3.90%,84.99,81.54,8890574,05/15/18
CHK,"Chesapeake Energy Corp",3.71,0.11,+3.06%,3.74,3.61,36422043,05/15/18
CL,"Colgate-Palmolive Company",61.65,-0.39,-0.63%,61.9,61.28,6573102,05/15/18
CLF,"Cleveland-Cliffs Inc",8.57,0.19,+2.27%,8.58,8.16,7283183,05/15/18
CLNS,"Colony Northstar Inc",6,-0.05,-0.83%,6.13,5.97,9055354,05/15/18
CLWT,"Euro Tech Hldg",4.5,1.32,+41.51%,6.4,4.3,7822234,05/15/18
CMCSA,"Comcast Corp A",32.01,-0.13,-0.40%,32.03,31.73,23987848,05/15/18
CNP,"Centerpoint Energy Inc",26.06,-0.43,-1.62%,26.49,25.84,5622307,05/15/18
COP,Conocophillips,70.09,0.5,+0.72%,70.59,69.24,5962666,05/15/18
COTY,"Coty Inc",14.07,-0.08,-0.57%,14.15,13.87,6500017,05/15/18
CSCO,"Cisco Systems Inc",45.48,-0.22,-0.48%,45.55,44.93,24725113,05/15/18
CTL,Centurylink,19.37,0.13,+0.68%,19.39,18.98,8847128,05/15/18
CUZ,"Cousins Properties Inc",8.89,-0.19,-2.09%,9.06,8.88,5927889,05/15/18
CVS,"CVS Corp",65.84,-0.98,-1.47%,66.82,65.48,6509981,05/15/18
CVX,"Chevron Corp",129.74,-0.65,-0.50%,130.27,129.25,5197578,05/15/18
CX,"Cemex S.A.B. De C.V.",5.83,-0.06,-1.02%,5.87,5.73,6761404,05/15/18
CZR,"Caesars Entertainment Corp",12.7,0.15,+1.20%,12.95,12.6,16432678,05/15/18
DAL,"Delta Air Lines Inc",52.37,0.28,+0.54%,52.72,51.76,6565384,05/15/18
DB,"Deutsche Bank Ag",13.29,-0.36,-2.64%,13.43,13.23,5819223,05/15/18
DG,"Dollar General Corp",94,0.28,+0.30%,94.32,93.41,5093596,05/15/18
