TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
OPM,1PM PLC,ORD 10P,GB00BCDBXK43,SHRS,Financials,Financial Services,19/08/2013,United Kingdom,GBX,£42.19,AIM,,ASX1,AIMP
SPA,1SPATIAL PLC,ORD 1P,GB00B09LQS34,SHRS,Industrials,Industrial Goods & Services,20/09/2006,United Kingdom,GBX,£29.66,AIM,,ASX1,AIMP
C21,21ST CENTURY TECHNOLOGY PLC,ORD 6.5P,GB0008866310,SHRS,Industrials,Industrial Goods & Services,15/04/2005,United Kingdom,GBX,£2.45,AIM,,ASX1,AIMP
III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Financials,Financial Services,16/07/2007,United Kingdom,GBX,"£9,061.37",MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BYR8GK67,SHRS,Financials,Financial Services,08/07/2015,Jersey,GBX,"£2,063.36",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
DDDD,4D PHARMA PLC,ORD 0.25P,GB00BJL5BR07,SHRS,Health Care,Healthcare,18/02/2014,United Kingdom,GBX,£200.74,AIM,,AMSM,ASM8
FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Consumer Services,Media,18/12/2006,United Kingdom,GBX,£561.71,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
SIXH,600 GROUP PLC,ORD 1P,GB0008121641,SHRS,Industrials,Industrial Goods & Services,16/04/1996,United Kingdom,GBX,£19.37,AIM,,ASQ1,AMQ1
7DIG,7DIGITAL GROUP PLC,ORD 1P,GB00BMH46555,SHRS,Consumer Services,Retail,10/06/2014,United Kingdom,GBX,£20.13,AIM,,ASX1,AIMP
888,888 HOLDINGS PLC,ORD 0.5P,GI000A0F6407,SHRS,Consumer Services,Travel & Leisure,11/10/2006,Gibraltar,GBX,"£1,013.58",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Oil & Gas,Oil & Gas,06/03/2015,Australia,GBX,£85.10,AIM,,ASQ1,AMQ1
AA.,AA PLC,ORD 0.1P,GB00BMSKPJ95,SHRS,Industrials,Industrial Goods & Services,26/06/2014,United Kingdom,GBX,£769.42,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
ABA,ABACO CAPITAL PLC,ORD 0.001P,GB00B3LXPB43,SHRS,Health Care,Healthcare,12/02/2010,United Kingdom,GBX,£16.28,AIM,,ASQ1,AMQ1
ABBY,ABBEY PLC,ORD EUR0.32,IE0000020408,SHRS,Consumer Goods,Personal & Household Goods,21/09/2005,Ireland,GBX,£277.64,AIM,,ASQ1,AMQ1
ABC,ABCAM PLC,ORD 0.2P,GB00B6774699,SHRS,Health Care,Healthcare,15/11/2010,United Kingdom,GBX,"£2,519.53",AIM,,AMSM,AS50
ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Industrials,Industrial Goods & Services,22/05/2013,United Kingdom,GBX,£158.20,AIM,,ASQ1,AMQ1
AAIF,ABERDEEN ASIAN INCOME FUND LTD,ORD NPV,GB00B0P6J834,SHRS,Financials,Financial Services,12/12/2006,Jersey,GBX,£397.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
AAS,ABERDEEN ASIAN SMALLER COMPANIES INVESTMENT TRUST PLC,ORD 25P,GB0000100767,SHRS,Financials,Financial Services,12/12/2006,United Kingdom,GBX,£356.04,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,ORD 25P,GB0001297562,SHRS,Financials,Financial Services,31/10/2003,United Kingdom,GBX,£399.19,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
AEMC,ABERDEEN EMERGING MARKETS INVESTMENT COMPANY LIMITED,ORD 1P,GG00B45L2K95,SHRS,Financials,Financial Services,10/11/2009,Guernsey,GBX,£332.78,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
AFMC,ABERDEEN FRONTIER MARKETS INVESTMENT COMPANY LIMITED,ORD NPV,GG00B1W59J17,SHRS,Financials,Financial Services,15/06/2007,Guernsey,GBX,£53.41,AIM,,ASX1,AIMP
AJIT,ABERDEEN JAPAN INVESTMENT TRUST PLC,ORD 10P,GB0003920757,SHRS,Financials,Financial Services,10/11/2006,United Kingdom,GBX,£96.64,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ALAI,ABERDEEN LATIN AMERICAN INCOME FUND LIMITED,ORD NPV,JE00B44ZTP62,SHRS,Financials,Financial Services,16/08/2010,Jersey,GBX,£45.75,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
